WrappedNetworkMetrics$start:INTEGER(64 bits),WrappedNetworkMetrics$end:INTEGER(64 bits),WrappedNetworkMetrics$node_id:INTEGER(64 bits),WrappedNetworkMetrics$tBytes:INTEGER(64 bits),timestamp
1698831911000,1698831912000,9,295564408,1698831912217
1698831911000,1698831912000,6,5841079297,1698831912226
1698831912000,1698831913000,7,26893817722,1698831913119
1698831912000,1698831913000,11,313646102,1698831913126
1698831912000,1698831913000,4,2125229488,1698831913136
1698831912000,1698831913000,10,322801461,1698831913145
1698831912000,1698831913000,8,16367786780,1698831913149
1698831912000,1698831913000,5,731793305,1698831913169
1698831912000,1698831913000,6,5841080460,1698831913214
1698831912000,1698831913000,9,295565375,1698831913216
1698831913000,1698831914000,7,26893818890,1698831914123
1698831913000,1698831914000,4,2125230561,1698831914134
1698831913000,1698831914000,10,322802778,1698831914142
1698831913000,1698831914000,8,16367787911,1698831914144
1698831913000,1698831914000,5,731794422,1698831914159
1698831913000,1698831914000,6,5841081487,1698831914211
1698831913000,1698831914000,9,295566599,1698831914215
1698831913000,1698831914000,11,313647476,1698831914227
1698831914000,1698831915000,4,2125231589,1698831915123
1698831914000,1698831915000,8,16367788828,1698831915128
1698831914000,1698831915000,10,322803660,1698831915139
1698831914000,1698831915000,5,731795389,1698831915150
1698831914000,1698831915000,6,5841082461,1698831915205
1698831914000,1698831915000,9,295567564,1698831915209
1698831914000,1698831915000,11,313648305,1698831915221
1698831914000,1698831915000,7,26893819882,1698831915222
1698831915000,1698831916000,4,2125232790,1698831916124
1698831915000,1698831916000,10,322805016,1698831916134
1698831915000,1698831916000,5,731796552,1698831916145
1698831915000,1698831916000,9,295568877,1698831916200
1698831915000,1698831916000,6,5841083721,1698831916203
1698831915000,1698831916000,11,313649680,1698831916212
1698831915000,1698831916000,7,26893821224,1698831916219
1698831915000,1698831916000,8,16367790067,1698831916229
1698831916000,1698831917000,10,322805872,1698831917124
1698831916000,1698831917000,5,731797465,1698831917141
1698831916000,1698831917000,9,295569706,1698831917193
1698831916000,1698831917000,11,313650549,1698831917200
1698831916000,1698831917000,6,5841084601,1698831917206
1698831916000,1698831917000,7,26893822070,1698831917218
1698831916000,1698831917000,4,2125233764,1698831917221
1698831916000,1698831917000,8,16367790931,1698831917227
1698831917000,1698831918000,5,731798810,1698831918141
1698831917000,1698831918000,9,295570994,1698831918190
1698831917000,1698831918000,11,313651688,1698831918195
1698831917000,1698831918000,6,5841085882,1698831918197
1698831917000,1698831918000,4,2125235063,1698831918214
1698831917000,1698831918000,8,16367792299,1698831918216
1698831917000,1698831918000,10,322807189,1698831918219
1698831917000,1698831918000,7,26893823442,1698831918220
1698831918000,1698831919000,5,731799624,1698831919136
1698831918000,1698831919000,6,5841086657,1698831919181
1698831918000,1698831919000,9,295571919,1698831919189
1698831918000,1698831919000,11,313652715,1698831919192
1698831918000,1698831919000,8,16367793125,1698831919206
1698831918000,1698831919000,4,2125235952,1698831919209
1698831918000,1698831919000,10,322808185,1698831919212
1698831918000,1698831919000,7,26893824266,1698831919224
1698831919000,1698831920000,5,731800840,1698831920137
1698831919000,1698831920000,6,5841087878,1698831920178
1698831919000,1698831920000,9,295572994,1698831920191
1698831919000,1698831920000,11,313653727,1698831920192
