WrappedNetworkMetrics$start:INTEGER(64 bits),WrappedNetworkMetrics$end:INTEGER(64 bits),WrappedNetworkMetrics$node_id:INTEGER(64 bits),WrappedNetworkMetrics$tBytes:INTEGER(64 bits),timestamp
1698832706000,1698832707000,4,2125609523,1698832707127
1698832706000,1698832707000,6,5841474950,1698832707159
1698832706000,1698832707000,8,16368173930,1698832707167
1698832706000,1698832707000,7,26894209945,1698832707196
1698832706000,1698832707000,11,314023540,1698832707203
1698832706000,1698832707000,9,295947364,1698832707216
1698832706000,1698832707000,5,732185187,1698832707220
1698832706000,1698832707000,10,323181934,1698832707225
1698832707000,1698832708000,6,5841476165,1698832708159
1698832707000,1698832708000,11,314024709,1698832708164
1698832707000,1698832708000,8,16368175263,1698832708166
1698832707000,1698832708000,7,26894211186,1698832708186
1698832707000,1698832708000,9,295948598,1698832708187
1698832707000,1698832708000,4,2125610661,1698832708195
1698832707000,1698832708000,10,323183184,1698832708199
1698832707000,1698832708000,5,732186329,1698832708212
1698832708000,1698832709000,11,314025517,1698832709132
1698832708000,1698832709000,8,16368176160,1698832709150
1698832708000,1698832709000,9,295949342,1698832709159
1698832708000,1698832709000,6,5841477005,1698832709161
1698832708000,1698832709000,4,2125611566,1698832709162
1698832708000,1698832709000,10,323183982,1698832709178
1698832708000,1698832709000,7,26894212003,1698832709182
1698832708000,1698832709000,5,732187187,1698832709203
1698832709000,1698832710000,4,2125612749,1698832710130
1698832709000,1698832710000,8,16368177446,1698832710135
1698832709000,1698832710000,9,295950401,1698832710147
1698832709000,1698832710000,6,5841478389,1698832710158
1698832709000,1698832710000,10,323185085,1698832710171
1698832709000,1698832710000,7,26894213428,1698832710179
1698832709000,1698832710000,5,732188470,1698832710202
1698832709000,1698832710000,11,314026581,1698832710215
1698832710000,1698832711000,8,16368178396,1698832711132
1698832710000,1698832711000,9,295951313,1698832711139
1698832710000,1698832711000,6,5841479278,1698832711160
1698832710000,1698832711000,10,323186080,1698832711164
1698832710000,1698832711000,7,26894214329,1698832711173
1698832710000,1698832711000,11,314027694,1698832711180
1698832710000,1698832711000,4,2125613445,1698832711202
1698832710000,1698832711000,5,732189396,1698832711205
1698832711000,1698832712000,9,295952251,1698832712119
1698832711000,1698832712000,8,16368179412,1698832712138
1698832711000,1698832712000,11,314028497,1698832712153
1698832711000,1698832712000,10,323186968,1698832712155
1698832711000,1698832712000,7,26894215365,1698832712161
1698832711000,1698832712000,6,5841480384,1698832712165
1698832711000,1698832712000,4,2125614524,1698832712170
1698832711000,1698832712000,5,732190609,1698832712193
1698832712000,1698832713000,4,2125615429,1698832713134
1698832712000,1698832713000,11,314029695,1698832713137
1698832712000,1698832713000,8,16368180646,1698832713142
1698832712000,1698832713000,10,323188141,1698832713147
1698832712000,1698832713000,7,26894216520,1698832713154
1698832712000,1698832713000,6,5841481510,1698832713167
1698832712000,1698832713000,5,732191612,1698832713177
1698832712000,1698832713000,9,295953458,1698832713197
1698832713000,1698832714000,10,323188913,1698832714135
1698832713000,1698832714000,8,16368181531,1698832714141
1698832713000,1698832714000,7,26894217474,1698832714154
1698832713000,1698832714000,9,295954146,1698832714175
